,start,end,rsp_sex,rsp_age,fcs_staples,fcs_pulses,fcs_dairy,fcs_proteins,fcs_flesh_meat,fcs_organ_meat,fcs_fish,fcs_eggs,fcs_veg,fcs_orange_veg,fcs_green_veg,fcs_fruits,fcs_orange_fruit,fcs_fats,fcs_sugars,fcs_condiments,rcsi_meal_adult,rcsi_meal_size,rcsi_meal_nb,rcsi_no_eat
89,2021-05-12T11:01:17.507-06:00,2021-05-12T11:47:39.752-06:00,2,73,7,7,7,3,1,0,0,3,7,3,7,7,7,7,1,7,0,0,0,0
90,2021-05-12T09:19:32.875-06:00,2021-05-12T10:44:27.168-06:00,2,46,7,7,7,7,7,0,0,7,4,2,4,4,4,7,7,7,0,0,0,0
91,2021-05-12T11:44:22.637-06:00,2021-05-12T12:19:27.434-06:00,1,45,7,7,2,7,1,0,0,7,1,1,1,1,1,7,7,7,0,0,0,0
92,2021-05-12T11:28:42.409-06:00,2021-05-12T11:44:15.019-06:00,2,67,7,7,7,7,1,0,2,7,0,0,0,2,2,7,0,7,0,0,0,0
93,2021-05-12T11:05:16.943-06:00,2021-05-12T11:28:18.810-06:00,1,29,7,7,2,3,2,0,0,3,0,0,0,2,2,7,7,7,0,0,0,0
94,2021-05-12T10:24:38.063-06:00,2021-05-12T11:01:27.953-06:00,1,34,7,7,7,7,7,0,0,7,2,0,2,7,7,7,7,7,0,0,0,0
95,2021-05-12T07:43:27.786-06:00,2021-05-12T12:20:21.222-06:00,1,58,7,7,7,2,2,1,0,1,7,2,7,7,7,3,7,7,0,0,0,0
96,2021-05-12T11:40:52.185-06:00,2021-05-12T11:51:32.272-06:00,1,59,7,7,7,5,2,0,0,5,4,0,4,5,5,7,7,7,0,0,0,0
97,2021-05-12T11:10:33.600-06:00,2021-05-12T11:30:42.033-06:00,2,64,7,7,7,7,3,0,3,7,7,0,7,7,7,7,7,7,0,0,0,0
98,2021-05-12T10:48:28.217-06:00,2021-05-12T11:06:27.626-06:00,2,79,7,3,7,5,3,0,0,5,7,0,7,7,7,7,7,7,0,0,0,0
99,2021-05-12T10:22:00.724-06:00,2021-05-12T10:48:13.837-06:00,1,32,7,7,7,7,3,0,0,7,3,0,3,5,5,7,7,7,0,0,0,0
100,2021-05-12T09:51:35.315-06:00,2021-05-12T10:21:50.383-06:00,1,83,7,7,7,7,2,0,0,7,5,3,5,7,7,7,7,7,0,0,0,0
101,2021-05-12T09:29:03.650-06:00,2021-05-12T09:51:25.773-06:00,1,65,7,7,7,7,3,3,3,7,7,0,7,7,7,7,7,7,0,0,0,0
102,2021-05-12T11:01:51.071-06:00,2021-05-12T12:19:55.506-06:00,2,40,7,7,7,4,3,0,2,4,7,2,4,7,7,7,7,7,4,4,0,0
103,2021-05-12T10:26:10.275-06:00,2021-05-12T11:01:46.893-06:00,1,57,7,0,7,3,3,0,0,2,4,2,3,4,4,7,7,7,0,0,0,0
104,2021-05-12T09:24:17.199-06:00,2021-05-12T10:15:18.940-06:00,1,30,7,7,7,4,3,0,1,4,7,0,3,7,7,7,7,7,0,0,0,0
105,2021-05-12T11:46:23.436-06:00,2021-05-12T12:18:04.491-06:00,1,51,7,7,0,5,1,0,0,4,6,1,5,3,3,7,3,3,0,0,0,0
106,2021-05-12T11:15:22.286-06:00,2021-05-12T11:46:18.992-06:00,1,40,3,4,4,7,3,0,0,4,7,4,5,5,5,7,5,5,0,0,0,0
107,2021-05-12T11:36:27.312-06:00,2021-05-12T12:00:29.889-06:00,1,56,7,7,7,3,2,0,1,3,7,7,7,7,7,2,6,7,0,0,0,0
108,2021-05-12T10:46:52.580-06:00,2021-05-12T11:12:59.344-06:00,1,60,7,7,7,7,2,0,1,4,7,5,5,7,7,7,2,2,0,0,0,0
109,2021-05-12T11:07:28.934-06:00,2021-05-12T12:01:33.347-06:00,1,83,7,7,7,3,3,0,2,3,3,3,3,5,5,7,7,7,0,0,0,0
110,2021-05-12T10:08:14.232-06:00,2021-05-12T10:57:56.368-06:00,2,44,2,4,3,4,4,0,3,1,7,7,7,3,3,4,0,7,0,0,0,0
111,2021-05-12T10:10:37.586-06:00,2021-05-12T10:46:41.267-06:00,1,47,7,7,4,7,1,0,1,5,3,2,3,7,7,7,7,7,0,0,0,0
112,2021-05-12T09:31:29.424-06:00,2021-05-12T10:07:34.900-06:00,2,19,3,4,4,7,4,0,0,7,7,5,7,7,7,7,2,7,0,0,0,0
113,2021-05-12T09:30:16.573-06:00,2021-05-12T10:10:30.176-06:00,1,70,7,7,7,6,1,0,0,5,4,3,3,5,5,7,7,5,0,0,0,0
114,2021-05-12T11:33:20.226-06:00,2021-05-12T12:05:35.467-06:00,2,61,7,7,7,7,6,0,2,7,7,7,7,7,7,7,7,7,0,3,0,0
115,2021-05-12T11:06:36.925-06:00,2021-05-12T11:31:46.624-06:00,1,67,7,7,3,3,0,0,0,3,6,6,6,1,0,6,0,7,0,0,0,0
116,2021-05-12T10:20:59.575-06:00,2021-05-12T10:58:14.986-06:00,2,64,7,7,7,7,1,0,0,7,3,0,0,7,3,7,7,7,0,0,0,0
117,2021-05-12T07:44:46.608-06:00,2021-05-12T10:05:34.483-06:00,1,30,7,2,3,3,3,0,2,3,2,2,2,3,3,7,7,7,0,0,0,0
118,2021-05-12T11:29:03.129-06:00,2021-05-12T11:48:43.583-06:00,1,74,7,7,7,7,2,0,1,7,4,1,2,7,3,7,7,7,0,0,0,0
119,2021-05-12T10:48:33.756-06:00,2021-05-12T11:22:09.516-06:00,1,31,7,7,7,7,2,0,0,7,3,1,1,4,4,7,7,7,0,0,0,0
120,2021-05-12T11:04:34.442-06:00,2021-05-12T11:55:10.697-06:00,1,64,7,7,5,7,3,0,1,7,7,7,0,7,7,7,7,7,2,1,0,0
121,2021-05-12T07:43:55.449-06:00,2021-05-12T10:47:05.473-06:00,2,58,7,2,7,7,3,0,1,7,2,2,2,7,7,7,7,7,0,0,0,0
122,2021-05-12T10:00:50.949-06:00,2021-05-12T11:04:25.818-06:00,1,45,3,7,7,7,1,0,1,7,7,7,0,2,2,7,7,3,0,0,0,0
123,2021-05-12T09:26:38.662-06:00,2021-05-12T10:00:19.905-06:00,2,23,5,7,7,7,7,0,0,4,7,3,3,7,7,7,7,7,0,0,0,0
124,2021-05-12T11:29:54.593-06:00,2021-05-12T11:53:04.700-06:00,2,39,7,7,6,3,3,0,0,3,2,1,2,7,7,6,4,4,0,0,0,0
125,2021-05-12T11:03:10.986-06:00,2021-05-12T11:27:51.651-06:00,1,64,0,7,7,2,2,0,0,2,4,2,4,6,6,7,7,7,0,0,0,0
126,2021-05-12T10:26:22.384-06:00,2021-05-12T11:02:23.889-06:00,2,69,7,4,5,4,1,0,1,4,3,1,3,5,3,7,7,7,0,0,0,0
127,2021-05-12T07:30:09.641-06:00,2021-05-12T11:03:06.229-06:00,2,42,7,7,7,7,3,0,2,7,5,1,5,7,2,7,7,7,0,0,0,0
128,2021-05-12T11:10:17.880-06:00,2021-05-12T12:09:19.044-06:00,2,67,7,7,7,7,3,0,0,7,7,7,7,5,5,7,7,7,0,0,0,0
129,2021-05-12T08:59:31.891-06:00,2021-05-12T11:10:13.098-06:00,1,58,7,4,4,7,3,0,2,7,4,4,4,7,7,7,4,4,0,0,0,0
130,2021-05-12T09:22:16.811-06:00,2021-05-12T10:19:18.245-06:00,1,60,7,7,7,7,7,0,0,7,7,7,7,7,7,7,7,7,0,0,0,0
131,2021-05-12T13:04:19.318-06:00,2021-05-12T13:57:23.575-06:00,1,68,4,3,0,4,2,1,0,4,2,2,2,0,0,3,4,4,0,5,0,0
